strategy,productionConfig,chunkSize,chunkOverlap,topK,threshold,pairs,chunkPrecision,chunkRecall,chunkF1,pairPrecision,pairRecall,pairF1,pairAccuracy,pairTp,pairFp,pairFn,pairTn,llmRequestsTriggered,llmRequestReduction,meanSelectedChunks,positiveMeanSelectedChunks,negativeMeanSelectedChunks,payloadChars,fullTextChars,payloadRatio,payloadReduction,positivePayloadRatio,negativePayloadRatio
full_text,false,600,80,0,0.000000,18,0.312500,1.000000,0.476190,0.333333,1.000000,0.500000,0.333333,6,12,0,0,18,0.000000,2.666667,2.500000,2.750000,23265,23265,1.000000,0.000000,1.000000,1.000000
rag,false,600,80,1,0.650000,18,0.600000,0.400000,0.480000,0.600000,1.000000,0.750000,0.777778,6,4,0,8,10,0.444444,0.555556,1.000000,0.333333,5598,23265,0.240619,0.759381,0.471436,0.133979
rag,false,600,80,1,0.700000,18,1.000000,0.400000,0.571429,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.333333,1.000000,0.000000,3466,23265,0.148979,0.851021,0.471436,0.000000
rag,false,600,80,1,0.720000,18,1.000000,0.400000,0.571429,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.333333,1.000000,0.000000,3466,23265,0.148979,0.851021,0.471436,0.000000
rag,false,600,80,1,0.750000,18,1.000000,0.400000,0.571429,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.333333,1.000000,0.000000,3466,23265,0.148979,0.851021,0.471436,0.000000
rag,false,600,80,1,0.800000,18,1.000000,0.400000,0.571429,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.333333,1.000000,0.000000,3466,23265,0.148979,0.851021,0.471436,0.000000
rag,false,600,80,3,0.650000,18,0.652174,1.000000,0.789474,0.600000,1.000000,0.750000,0.777778,6,4,0,8,10,0.444444,1.277778,2.500000,0.666667,12039,23265,0.517473,0.482527,1.059440,0.267077
rag,false,600,80,3,0.700000,18,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.833333,2.500000,0.000000,7789,23265,0.334795,0.665205,1.059440,0.000000
rag,false,600,80,3,0.720000,18,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.833333,2.500000,0.000000,7789,23265,0.334795,0.665205,1.059440,0.000000
rag,false,600,80,3,0.750000,18,1.000000,0.933333,0.965517,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.777778,2.333333,0.000000,7676,23265,0.329938,0.670062,1.044070,0.000000
rag,false,600,80,3,0.800000,18,1.000000,0.866667,0.928571,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.722222,2.166667,0.000000,7240,23265,0.311197,0.688803,0.984766,0.000000
rag,false,600,80,5,0.650000,18,0.652174,1.000000,0.789474,0.600000,1.000000,0.750000,0.777778,6,4,0,8,10,0.444444,1.277778,2.500000,0.666667,12039,23265,0.517473,0.482527,1.059440,0.267077
rag,false,600,80,5,0.700000,18,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.833333,2.500000,0.000000,7789,23265,0.334795,0.665205,1.059440,0.000000
rag,false,600,80,5,0.720000,18,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.833333,2.500000,0.000000,7789,23265,0.334795,0.665205,1.059440,0.000000
rag,false,600,80,5,0.750000,18,1.000000,0.933333,0.965517,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.777778,2.333333,0.000000,7676,23265,0.329938,0.670062,1.044070,0.000000
rag,false,600,80,5,0.800000,18,1.000000,0.866667,0.928571,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.722222,2.166667,0.000000,7240,23265,0.311197,0.688803,0.984766,0.000000
full_text,false,900,120,0,0.000000,18,0.305556,1.000000,0.468085,0.333333,1.000000,0.500000,0.333333,6,12,0,0,18,0.000000,2.000000,2.000000,2.000000,23265,23265,1.000000,0.000000,1.000000,1.000000
rag,false,900,120,1,0.650000,18,0.600000,0.545455,0.571429,0.600000,1.000000,0.750000,0.777778,6,4,0,8,10,0.444444,0.555556,1.000000,0.333333,8360,23265,0.359338,0.640662,0.722252,0.191667
rag,false,900,120,1,0.700000,18,1.000000,0.545455,0.705882,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.333333,1.000000,0.000000,5310,23265,0.228240,0.771760,0.722252,0.000000
rag,false,900,120,1,0.720000,18,1.000000,0.545455,0.705882,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.333333,1.000000,0.000000,5310,23265,0.228240,0.771760,0.722252,0.000000
rag,false,900,120,1,0.750000,18,1.000000,0.545455,0.705882,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.333333,1.000000,0.000000,5310,23265,0.228240,0.771760,0.722252,0.000000
rag,false,900,120,1,0.800000,18,1.000000,0.545455,0.705882,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.333333,1.000000,0.000000,5310,23265,0.228240,0.771760,0.722252,0.000000
rag,false,900,120,3,0.650000,18,0.647059,1.000000,0.785714,0.600000,1.000000,0.750000,0.777778,6,4,0,8,10,0.444444,0.944444,2.000000,0.416667,11092,23265,0.476768,0.523232,1.058896,0.207818
rag,false,900,120,3,0.700000,18,0.916667,1.000000,0.956522,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.666667,2.000000,0.000000,7785,23265,0.334623,0.665377,1.058896,0.000000
rag,false,900,120,3,0.720000,18,0.916667,1.000000,0.956522,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.666667,2.000000,0.000000,7785,23265,0.334623,0.665377,1.058896,0.000000
rag,false,900,120,3,0.750000,18,0.916667,1.000000,0.956522,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.666667,2.000000,0.000000,7785,23265,0.334623,0.665377,1.058896,0.000000
rag,false,900,120,3,0.800000,18,0.888889,0.727273,0.800000,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.500000,1.500000,0.000000,6517,23265,0.280120,0.719880,0.886425,0.000000
rag,false,900,120,5,0.650000,18,0.647059,1.000000,0.785714,0.600000,1.000000,0.750000,0.777778,6,4,0,8,10,0.444444,0.944444,2.000000,0.416667,11092,23265,0.476768,0.523232,1.058896,0.207818
rag,false,900,120,5,0.700000,18,0.916667,1.000000,0.956522,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.666667,2.000000,0.000000,7785,23265,0.334623,0.665377,1.058896,0.000000
rag,true,900,120,5,0.720000,18,0.916667,1.000000,0.956522,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.666667,2.000000,0.000000,7785,23265,0.334623,0.665377,1.058896,0.000000
rag,false,900,120,5,0.750000,18,0.916667,1.000000,0.956522,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.666667,2.000000,0.000000,7785,23265,0.334623,0.665377,1.058896,0.000000
rag,false,900,120,5,0.800000,18,0.888889,0.727273,0.800000,1.000000,1.000000,1.000000,1.000000,6,0,0,12,6,0.666667,0.500000,1.500000,0.000000,6517,23265,0.280120,0.719880,0.886425,0.000000
full_text,false,1200,160,0,0.000000,18,0.296296,1.000000,0.457143,0.333333,1.000000,0.500000,0.333333,6,12,0,0,18,0.000000,1.500000,1.333333,1.583333,23265,23265,1.000000,0.000000,1.000000,1.000000
