strategy,pairId,type,shouldMatch,resumeId,jobId,chunkSize,chunkOverlap,topK,threshold,chunkCount,goldRelevant,selectedChunks,tp,fp,fn,chunkPrecision,chunkRecall,chunkF1,predictedEvidenceGate,pairCorrect,evidenceChars,evidenceUtf8Bytes,fullTextChars,fullTextUtf8Bytes
full_text,P1,positive,true,java-backend-chen,java-backend-payment,600,80,0,0.000000,3,3,3,3,0,0,1.000000,1.000000,1.000000,true,true,1491,3341,1491,3341
rag,P1,positive,true,java-backend-chen,java-backend-payment,600,80,1,0.650000,3,3,1,1,0,2,1.000000,0.333333,0.500000,true,true,569,1185,1491,3341
rag,P1,positive,true,java-backend-chen,java-backend-payment,600,80,1,0.700000,3,3,1,1,0,2,1.000000,0.333333,0.500000,true,true,569,1185,1491,3341
rag,P1,positive,true,java-backend-chen,java-backend-payment,600,80,1,0.720000,3,3,1,1,0,2,1.000000,0.333333,0.500000,true,true,569,1185,1491,3341
rag,P1,positive,true,java-backend-chen,java-backend-payment,600,80,1,0.750000,3,3,1,1,0,2,1.000000,0.333333,0.500000,true,true,569,1185,1491,3341
rag,P1,positive,true,java-backend-chen,java-backend-payment,600,80,1,0.800000,3,3,1,1,0,2,1.000000,0.333333,0.500000,true,true,569,1185,1491,3341
rag,P1,positive,true,java-backend-chen,java-backend-payment,600,80,3,0.650000,3,3,3,3,0,0,1.000000,1.000000,1.000000,true,true,1599,3679,1491,3341
rag,P1,positive,true,java-backend-chen,java-backend-payment,600,80,3,0.700000,3,3,3,3,0,0,1.000000,1.000000,1.000000,true,true,1599,3679,1491,3341
rag,P1,positive,true,java-backend-chen,java-backend-payment,600,80,3,0.720000,3,3,3,3,0,0,1.000000,1.000000,1.000000,true,true,1599,3679,1491,3341
rag,P1,positive,true,java-backend-chen,java-backend-payment,600,80,3,0.750000,3,3,3,3,0,0,1.000000,1.000000,1.000000,true,true,1599,3679,1491,3341
rag,P1,positive,true,java-backend-chen,java-backend-payment,600,80,3,0.800000,3,3,2,2,0,1,1.000000,0.666667,0.800000,true,true,1163,2605,1491,3341
rag,P1,positive,true,java-backend-chen,java-backend-payment,600,80,5,0.650000,3,3,3,3,0,0,1.000000,1.000000,1.000000,true,true,1599,3679,1491,3341
rag,P1,positive,true,java-backend-chen,java-backend-payment,600,80,5,0.700000,3,3,3,3,0,0,1.000000,1.000000,1.000000,true,true,1599,3679,1491,3341
rag,P1,positive,true,java-backend-chen,java-backend-payment,600,80,5,0.720000,3,3,3,3,0,0,1.000000,1.000000,1.000000,true,true,1599,3679,1491,3341
rag,P1,positive,true,java-backend-chen,java-backend-payment,600,80,5,0.750000,3,3,3,3,0,0,1.000000,1.000000,1.000000,true,true,1599,3679,1491,3341
