=== threshold sweep start 2026-08-14T07:47:40.443121300Z ===
sweepDir=<REPO>\experiments\threshold-sweep
wrote labeled chunks: <REPO>\experiments\threshold-sweep\dataset\labeled-chunks.json
tokenizerUri=file:///<REPO>/jd-rag-resume-backend/models/gte-multilingual-base-int8/tokenizer.json
modelUri=file:///<REPO>/jd-rag-resume-backend/models/gte-multilingual-base-int8/model_int8.onnx
local tokenizer bytes=17082734
local model bytes=340318797
onnx model loaded in 1.3s
pairs=18 thresholds=[0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.72, 0.75, 0.8]
[1/18] P1 positive thr=0.35 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.71s
[1/18] P1 positive thr=0.40 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.13s
[1/18] P1 positive thr=0.45 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.13s
[1/18] P1 positive thr=0.50 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.13s
[1/18] P1 positive thr=0.55 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.13s
[1/18] P1 positive thr=0.60 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.13s
[1/18] P1 positive thr=0.65 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.13s
[1/18] P1 positive thr=0.70 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.13s
[1/18] P1 positive thr=0.72 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.13s
[1/18] P1 positive thr=0.75 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.13s
[1/18] P1 positive thr=0.80 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.13s
[2/18] P2 positive thr=0.35 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.47s
[2/18] P2 positive thr=0.40 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.12s
[2/18] P2 positive thr=0.45 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.11s
[2/18] P2 positive thr=0.50 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.12s
[2/18] P2 positive thr=0.55 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.12s
[2/18] P2 positive thr=0.60 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.12s
[2/18] P2 positive thr=0.65 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.12s
[2/18] P2 positive thr=0.70 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.12s
[2/18] P2 positive thr=0.72 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.12s
[2/18] P2 positive thr=0.75 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.14s
[2/18] P2 positive thr=0.80 kept=1 pass=1 gold=2 tp=1 fp=0 fn=1 boostCross=1 0.12s
[3/18] P3 positive thr=0.35 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.49s
[3/18] P3 positive thr=0.40 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.11s
[3/18] P3 positive thr=0.45 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.11s
[3/18] P3 positive thr=0.50 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.11s
[3/18] P3 positive thr=0.55 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.11s
[3/18] P3 positive thr=0.60 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.11s
[3/18] P3 positive thr=0.65 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.11s
[3/18] P3 positive thr=0.70 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.10s
[3/18] P3 positive thr=0.72 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.11s
[3/18] P3 positive thr=0.75 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.11s
[3/18] P3 positive thr=0.80 kept=1 pass=1 gold=2 tp=1 fp=0 fn=1 boostCross=1 0.11s
[4/18] P4 positive thr=0.35 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.51s
[4/18] P4 positive thr=0.40 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.10s
[4/18] P4 positive thr=0.45 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.10s
[4/18] P4 positive thr=0.50 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.10s
[4/18] P4 positive thr=0.55 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.11s
[4/18] P4 positive thr=0.60 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.10s
[4/18] P4 positive thr=0.65 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.10s
[4/18] P4 positive thr=0.70 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.10s
[4/18] P4 positive thr=0.72 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.10s
[4/18] P4 positive thr=0.75 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.11s
[4/18] P4 positive thr=0.80 kept=1 pass=1 gold=2 tp=1 fp=0 fn=1 boostCross=1 0.12s
[5/18] P5 positive thr=0.35 kept=2 pass=2 gold=1 tp=1 fp=1 fn=0 boostCross=0 0.51s
[5/18] P5 positive thr=0.40 kept=2 pass=2 gold=1 tp=1 fp=1 fn=0 boostCross=0 0.10s
[5/18] P5 positive thr=0.45 kept=2 pass=2 gold=1 tp=1 fp=1 fn=0 boostCross=0 0.11s
[5/18] P5 positive thr=0.50 kept=2 pass=2 gold=1 tp=1 fp=1 fn=0 boostCross=0 0.10s
[5/18] P5 positive thr=0.55 kept=2 pass=2 gold=1 tp=1 fp=1 fn=0 boostCross=0 0.10s
[5/18] P5 positive thr=0.60 kept=2 pass=2 gold=1 tp=1 fp=1 fn=0 boostCross=0 0.10s
[5/18] P5 positive thr=0.65 kept=2 pass=2 gold=1 tp=1 fp=1 fn=0 boostCross=0 0.10s
[5/18] P5 positive thr=0.70 kept=2 pass=2 gold=1 tp=1 fp=1 fn=0 boostCross=0 0.10s
[5/18] P5 positive thr=0.72 kept=2 pass=2 gold=1 tp=1 fp=1 fn=0 boostCross=0 0.10s
[5/18] P5 positive thr=0.75 kept=2 pass=2 gold=1 tp=1 fp=1 fn=0 boostCross=0 0.11s
