pairId,type,shouldMatch,resumeId,jobId,threshold,chunkCount,goldRelevant,returned,pass,kept,overTopk,tp,fp,fn,tn,precision,recall,f1,keptGold,keptPrecision,predictedMatch,maxRaw,maxBoosted,minPassedRaw,boostWouldCross,elapsedSeconds
P1,positive,true,java-backend-chen,java-backend-payment,0.350000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.873297,0.978297,0.800884,0,0.896329
P1,positive,true,java-backend-chen,java-backend-payment,0.400000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.873297,0.978297,0.800884,0,0.179751
P1,positive,true,java-backend-chen,java-backend-payment,0.450000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.873297,0.978297,0.800884,0,0.195615
P1,positive,true,java-backend-chen,java-backend-payment,0.500000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.873297,0.978297,0.800884,0,0.183464
P1,positive,true,java-backend-chen,java-backend-payment,0.550000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.873297,0.978297,0.800884,0,0.185909
P1,positive,true,java-backend-chen,java-backend-payment,0.600000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.873297,0.978297,0.800884,0,0.184193
P1,positive,true,java-backend-chen,java-backend-payment,0.650000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.873297,0.978297,0.800884,0,0.176655
P1,positive,true,java-backend-chen,java-backend-payment,0.700000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.873297,0.978297,0.800884,0,0.170459
P1,positive,true,java-backend-chen,java-backend-payment,0.750000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.873297,0.978297,0.800884,0,0.170684
P1,positive,true,java-backend-chen,java-backend-payment,0.800000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.873297,0.978297,0.800884,0,0.171445
P2,positive,true,frontend-lin,frontend-react,0.350000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.893998,0.998998,0.751004,0,0.642435
P2,positive,true,frontend-lin,frontend-react,0.400000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.893998,0.998998,0.751004,0,0.157569
P2,positive,true,frontend-lin,frontend-react,0.450000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.893998,0.998998,0.751004,0,0.159073
P2,positive,true,frontend-lin,frontend-react,0.500000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.893998,0.998998,0.751004,0,0.154928
P2,positive,true,frontend-lin,frontend-react,0.550000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.893998,0.998998,0.751004,0,0.153650
P2,positive,true,frontend-lin,frontend-react,0.600000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.893998,0.998998,0.751004,0,0.155975
P2,positive,true,frontend-lin,frontend-react,0.650000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.893998,0.998998,0.751004,0,0.155471
P2,positive,true,frontend-lin,frontend-react,0.700000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.893998,0.998998,0.751004,0,0.158015
P2,positive,true,frontend-lin,frontend-react,0.750000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.893998,0.998998,0.751004,0,0.160788
P2,positive,true,frontend-lin,frontend-react,0.800000,2,2,2,1,1,0,1,0,1,0,1.000000,0.500000,0.666667,1,1.000000,true,0.893998,0.998998,0.893998,1,0.157585
P3,positive,true,algorithm-zhou,algorithm-recsys,0.350000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.862052,0.967052,0.779478,0,0.621274
P3,positive,true,algorithm-zhou,algorithm-recsys,0.400000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.862052,0.967052,0.779478,0,0.140229
P3,positive,true,algorithm-zhou,algorithm-recsys,0.450000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.862052,0.967052,0.779478,0,0.146864
P3,positive,true,algorithm-zhou,algorithm-recsys,0.500000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.862052,0.967052,0.779478,0,0.140998
P3,positive,true,algorithm-zhou,algorithm-recsys,0.550000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.862052,0.967052,0.779478,0,0.139885
