threshold,chunkPrecision,chunkRecall,chunkF1,tp,fp,fn,tn,pairPrecision,pairRecall,pairF1,pairTp,pairFp,pairFn,pairTn,positivePairsWithKept,positivePairs,positiveMeanKept,positiveMeanPass,positiveGoldRecall,positiveKeptPrecision,negativeFalsePassChunks,negativePairsWithKept,negativePairs,hardNegFalsePassChunks,hardNegPairsWithKept,hardNegPairs,boostWouldCrossChunks
0.350000,0.305556,1.000000,0.468085,11,25,0,0,0.333333,1.000000,0.500000,6,12,0,0,6,6,2.000000,2.000000,1.000000,0.916667,12,6,6,12,6,6,0
0.400000,0.305556,1.000000,0.468085,11,25,0,0,0.333333,1.000000,0.500000,6,12,0,0,6,6,2.000000,2.000000,1.000000,0.916667,12,6,6,12,6,6,0
0.450000,0.305556,1.000000,0.468085,11,25,0,0,0.333333,1.000000,0.500000,6,12,0,0,6,6,2.000000,2.000000,1.000000,0.916667,12,6,6,12,6,6,0
0.500000,0.305556,1.000000,0.468085,11,25,0,0,0.333333,1.000000,0.500000,6,12,0,0,6,6,2.000000,2.000000,1.000000,0.916667,12,6,6,12,6,6,0
0.550000,0.343750,1.000000,0.511628,11,21,0,4,0.352941,1.000000,0.521739,6,11,0,1,6,6,2.000000,2.000000,1.000000,0.916667,8,5,6,12,6,6,4
0.600000,0.440000,1.000000,0.611111,11,14,0,11,0.428571,1.000000,0.600000,6,8,0,4,6,6,2.000000,2.000000,1.000000,0.916667,2,2,6,11,6,6,7
0.650000,0.647059,1.000000,0.785714,11,6,0,19,0.600000,1.000000,0.750000,6,4,0,8,6,6,2.000000,2.000000,1.000000,0.916667,0,0,6,5,4,6,9
0.700000,0.916667,1.000000,0.956522,11,1,0,24,1.000000,1.000000,1.000000,6,0,0,12,6,6,2.000000,2.000000,1.000000,0.916667,0,0,6,0,0,6,7
0.720000,0.916667,1.000000,0.956522,11,1,0,24,1.000000,1.000000,1.000000,6,0,0,12,6,6,2.000000,2.000000,1.000000,0.916667,0,0,6,0,0,6,6
0.750000,0.916667,1.000000,0.956522,11,1,0,24,1.000000,1.000000,1.000000,6,0,0,12,6,6,2.000000,2.000000,1.000000,0.916667,0,0,6,0,0,6,4
0.800000,0.888889,0.727273,0.800000,8,1,3,24,1.000000,1.000000,1.000000,6,0,0,12,6,6,1.500000,1.500000,0.727273,0.888889,0,0,6,0,0,6,3
